54836,3027,کزقند,139342,6
54837,3027,کریم آباد,139344,6
54838,3027,کشک آباد سفلی,139345,6
54839,3027,کشک آباد علیا,139346,6
54840,3027,کلاته گرز,139348,6
54841,3027,کلاته مندها,139349,6
54842,3027,گلچین,139350,6
54843,3027,مهدی آباد,139372,6
54844,3027,نوغاب / محمود آباد,139375,6
54845,3027,نوق / نوک,139377,6
54846,3027,روح آباد / رودخر,392431,6
54847,3027,هزار تیزک,392441,6
54848,3027,ملکت,392479,6
54849,3027,کلاته سید,392492,6
54850,3027,شهرک صنعتی رشتخوار,809565,6
54851,3028,آب گرم,165345,6
54852,3028,المتو,165346,6
54853,3028,المتین,165347,6
54854,3028,النگ علی بای,165348,6
54855,3028,امیر آباد,165349,6
54856,3028,باغگاه,165350,6
54857,3028,بام چنار,165351,6
54858,3028,تقی آباد,165352,6
54859,3028,چهچهه,165360,6
54860,3028,خواجه روشنایی,165363,6
54861,3028,سرجنگل,165369,6
54862,3028,سر چشمه,165370,6
54863,3028,سلطان قلی,165371,6
54864,3028,سنگانه,165372,6
54865,3028,سه پنجه,165374,6
54866,3028,سیرزار,165375,6
54867,3028,کال پرنده,165376,6
54868,3028,کال شور,165377,6
54869,3028,کلاته آقا بیک,165379,6
54870,3028,گل بوته,165382,6
54871,3028,مومن آباد,165388,6
54872,3028,نیشابورک,165391,6
54873,3028,النگ سفلی,165444,6
54874,3028,النگ علیا,165445,6
54875,3028,طاهر آباد بربری ها / طاهر آباد علیا,165472,6
54876,3028,طاهر آباد ترک ها,165473,6
54877,3028,طاهر آباد میان / قلعه میان,165478,6
54878,3028,قوشخانه,165481,6
54879,3028,کرتاش,165483,6
54880,3028,کلاته اسماعیل بیک,165484,6
54881,3028,آسیاب قشقا,397725,6
54882,3028,رباط,397727,6
54883,3028,ملامرش / کلاته مشرف,397728,6
54884,3028,طاهر آباد ترک ها جدید,542816,6
54885,3029,اورتکند,165446,6
54886,3029,پت,165451,6
54887,3029,سررود,165464,6
54888,3029,شورستان قشلاق چنار,165469,6
54889,3029,طرقطی,165474,6
54890,3029,قره تیکان/ شهید اسلام توکلی,165476,6
54891,3029,قلعه نو,165479,6
54892,3029,قلیچ آباد / شهید مهدی هنرمند,165480,6
54893,3029,آبکمه,165535,6
54894,3029,بابا فرجی,165540,6
54895,3029,باغ کند,165544,6
54896,3029,برده,165546,6
54897,3029,اله دولی,397696,6
54898,3029,شهرک صنعتی زاوین,809014,6
54899,3030,آقداش,165538,6
54900,3030,جلیل آباد,165547,6
54901,3030,خشت نادری,165555,6
54902,3030,خلج سفلی,165556,6
54903,3030,سیرزار,165561,6
54904,3030,قله زو,165568,6
54905,3030,گرو,165571,6
54906,3030,نفطه,165574,6
54907,3030,یکه توت سفلی,165576,6
54908,3031,ژرف,165534,6
54909,3031,چرم کهنه,165548,6
54910,3031,چرم نو,165549,6
54911,3031,حمام قلعه,165553,6
54912,3031,سینی,165562,6
54913,3031,سینی نو,165563,6
54914,3031,قره سو,165566,6
54915,3031,حصار حاجی اسماعیل,397708,6
54916,3031,ارچنگان,397709,6
54917,3031,قاباخ,397710,6
54918,3031,سلطان آباد,397711,6
54919,3031,ایده لیک,397712,6
54920,3032,اسد آباد,165626,6
54921,3032,حاجی آباد,165635,6
54922,3032,کالو,165647,6
54923,3032,کرناوه شور,165648,6
